iter	RMSE
0	12071.01304
1	11757.8052
2	11422.68992
3	11132.80581
4	10864.19374
5	10608.51555
6	10327.70441
7	10059.90732
8	9782.085323
9	9541.122233
10	9336.953992
11	9128.05391
12	8915.299024
13	8717.800371
14	8530.490521
15	8345.774502
16	8179.884097
17	8021.956142
18	7866.824438
19	7704.610832
20	7551.546142
21	7419.458124
22	7273.732387
23	7130.780502
24	6996.50609
25	6875.9766
26	6768.158171
27	6642.124784
28	6537.950651
29	6431.716715
30	6342.468212
31	6250.017176
32	6160.805652
33	6076.733267
34	5998.549866
35	5920.921394
36	5848.282684
37	5775.932931
38	5706.541776
39	5644.061381
40	5579.230487
41	5518.624754
42	5464.908925
43	5412.072813
44	5368.125069
45	5326.07832
46	5277.064065
47	5239.984699
48	5198.379958
49	5157.958104
50	5119.607803
51	5081.842341
52	5047.53523
53	5013.731876
54	4977.406805
55	4949.589259
56	4920.771135
57	4892.905288
58	4866.217694
59	4841.811019
60	4818.246217
61	4797.659436
62	4775.032277
63	4751.484662
64	4730.315478
65	4713.449252
66	4695.479591
67	4679.64775
68	4663.934533
69	4648.098416
70	4630.995589
71	4615.517647
72	4603.540564
73	4590.469224
74	4578.911269
75	4566.785353
76	4556.481283
77	4545.789681
78	4530.599637
79	4521.043745
80	4510.655352
81	4499.233356
82	4488.851275
83	4478.456939
84	4466.563897
85	4458.143936
86	4446.174388
87	4435.833144
88	4427.444695
89	4419.560499
90	4412.774231
91	4404.513858
92	4396.968877
93	4392.142422
94	4385.441733
95	4379.854522
96	4369.492597
97	4362.152082
98	4357.092996
99	4348.969391
100	4340.323031
101	4334.242129
102	4329.169839
103	4320.470373
104	4312.069864
105	4308.932299
106	4304.641835
107	4299.662874
108	4290.281832
109	4284.511762
110	4279.889331
111	4276.525492
112	4271.813973
113	4268.450734
114	4263.715758
115	4259.3944
116	4254.237832
117	4249.962557
118	4243.132248
119	4241.994634
120	4237.455413
121	4231.724177
122	4227.724812
123	4223.78407
124	4218.378193
125	4217.87105
126	4214.158789
127	4208.608261
128	4205.519452
129	4200.92567
130	4196.81672
131	4193.13484
132	4184.46917
133	4180.118594
134	4175.871523
135	4170.258052
136	4164.138051
137	4161.026567
138	4153.929241
139	4148.275647
140	4145.011843
141	4140.759941
142	4135.315297
143	4131.099419
144	4127.696808
145	4124.713006
146	4120.581682
147	4117.14542
148	4114.576946
149	4111.494665
150	4110.235258
151	4107.101113
152	4103.692133
153	4100.545985
154	4095.705762
155	4092.602207
156	4086.342902
157	4081.840173
158	4079.176231
159	4074.925577
160	4072.104605
161	4069.635985
162	4066.881359
163	4064.266419
164	4060.142046
165	4052.985737
166	4045.807677
167	4042.61709
168	4039.307991
169	4036.693108
170	4030.568876
171	4026.566271
172	4024.195157
173	4021.669262
174	4014.578295
175	4009.810543
176	4007.538646
177	4004.592266
178	4000.986995
179	3996.801139
180	3991.543933
181	3990.327656
182	3985.645986
183	3982.717391
184	3979.332537
185	3976.910526
186	3970.512305
187	3965.488916
188	3960.462441
189	3957.650515
190	3953.565227
191	3950.653074
192	3946.986692
193	3940.654669
194	3936.440526
195	3935.266609
196	3932.183943
197	3929.743067
198	3925.838359
199	3923.629282
200	3920.967311
201	3919.491047
202	3913.152751
203	3906.59529
204	3901.751687
205	3896.53455
206	3891.995295
207	3888.527787
208	3886.092943
209	3882.070954
210	3881.354991
211	3878.556398
212	3875.511478
213	3872.844729
214	3870.724419
215	3866.326013
216	3864.979263
217	3861.529819
218	3859.825279
219	3857.81092
220	3854.234643
221	3850.511817
222	3849.001595
223	3845.426772
224	3842.63287
225	3837.687458
226	3835.012099
227	3831.272183
228	3828.622624
229	3825.700396
230	3823.073237
231	3821.75332
232	3820.194745
233	3819.492436
234	3816.299864
235	3813.826206
236	3809.315753
237	3807.507011
238	3805.905367
239	3803.809956
240	3802.043844
241	3800.076949
242	3797.476284
243	3794.788746
244	3793.76252
245	3792.671396
246	3791.312041
247	3786.250403
248	3782.780081
249	3780.084893
250	3777.127552
251	3775.5839
252	3773.85386
253	3771.736164
254	3768.95204
255	3767.248116
256	3765.077101
257	3764.100323
258	3761.534728
259	3759.63254
260	3758.397231
261	3756.100744
262	3755.16469
263	3751.940354
264	3750.881171
265	3749.099684
266	3746.947474
267	3745.914913
268	3744.295103
269	3740.813709
270	3735.359777
271	3733.797412
272	3730.392254
273	3728.94593
274	3727.548292
275	3726.847144
276	3724.985029
277	3723.223978
278	3722.447618
279	3720.044939
280	3716.796472
281	3715.438781
282	3714.006506
283	3712.606433
284	3709.432719
285	3707.754527
286	3706.435964
287	3703.703029
288	3699.456345
289	3697.771261
290	3696.279833
291	3694.869631
292	3692.495073
293	3689.964202
294	3687.231815
295	3683.611059
296	3682.794026
297	3678.3063
298	3675.37093
299	3673.491909
300	3670.759819
301	3670.067705
302	3667.390184
303	3666.232698
304	3663.862306
305	3660.395365
306	3657.9442
307	3656.952059
308	3655.656816
309	3653.062888
310	3648.855497
311	3644.85548
312	3643.407589
313	3640.954538
314	3640.06288
315	3637.721406
316	3634.861189
317	3633.484711
318	3630.991523
319	3629.90438
320	3629.704784
321	3626.217049
322	3625.053079
323	3622.758538
324	3620.368953
325	3618.092483
326	3616.91105
327	3615.478509
328	3613.325532
329	3611.129165
330	3607.777951
331	3605.50231
332	3604.561988
333	3602.056842
334	3601.480245
335	3600.514471
336	3598.652379
337	3595.88013
338	3595.687664
339	3594.58376
340	3592.403446
341	3590.922561
342	3589.23826
343	3587.450671
344	3585.365442
345	3583.542718
346	3578.316766
347	3576.891754
348	3574.050249
349	3570.164156
350	3566.575705
351	3564.942011
352	3562.0213
353	3560.966377
354	3558.375132
355	3557.950105
356	3556.30998
357	3552.365016
358	3547.443545
359	3545.381298
360	3543.622145
361	3540.857006
362	3539.634067
363	3536.959989
364	3536.237182
365	3532.263578
366	3530.536255
367	3528.469333
368	3526.473446
369	3525.238603
370	3523.182216
371	3519.441349
372	3515.916005
373	3513.091092
374	3510.59903
375	3508.577557
376	3506.579271
377	3503.373924
378	3502.606977
379	3500.689711
380	3499.127082
381	3497.548432
382	3496.164043
383	3495.230623
384	3492.511574
385	3491.95798
386	3490.036751
387	3487.308593
388	3484.641803
389	3482.604135
390	3480.956464
391	3478.734468
392	3475.064716
393	3472.46567
394	3471.374743
395	3469.896648
396	3465.707767
397	3463.237339
398	3461.398985
399	3459.458347
400	3458.485288
401	3456.360162
402	3453.723893
403	3450.224745
404	3448.374161
405	3447.563461
406	3444.974406
407	3442.054774
408	3439.316836
409	3436.728126
410	3435.717953
411	3432.642989
412	3428.352339
413	3425.108313
414	3422.972675
415	3421.441534
416	3420.518879
417	3418.006746
418	3416.720954
419	3414.258852
420	3411.007065
421	3408.694232
422	3404.701361
423	3401.851977
424	3399.194575
425	3398.232179
426	3396.019057
427	3391.926156
428	3391.259134
429	3390.074075
